id,text,primary_emotion,secondary_emotion,teccr_context
2011,தவறு நடக்கும் என்ற பயம் இருந்தது,Fear,None,Error fear
2012,நம்பிக்கை இருந்தும் தயக்கம் தொடர்ந்தது,Fear,Hope,Conflicted courage
2013,எதிர்கால முடிவுகள் பயமூட்டின,Fear,None,Decision anxiety
2014,உள்ளுக்குள் கலக்கம் நீடித்தது,Fear,Frustration,Persistent anxiety
2015,பாதுகாப்பு குறித்த எண்ணங்கள் அதிகரித்தன,Fear,None,Safety concern
2016,நாளை பற்றி சிந்திக்க மனம் தயங்கியது,Fear,None,Future avoidance
2017,இந்த நிலை மாறுமா என்ற அச்சம்,Fear,None,Change fear
2018,இன்று சாதாரண நாளாகவே போனது,Neutral,None,Plain routine
2019,வழக்கம்போல வேலைகள் முடிந்தன,Neutral,None,Regular tasks
2020,எதுவும் விசேஷமில்லை இன்று,Neutral,None,No highlight
2021,நேரம் மெதுவாக ஓடியது போல,Neutral,None,Time flow
2022,சும்மா பார்த்துக்கொண்டிருந்தேன்,Neutral,None,Casual observation
2023,நாள் எப்படியோ கடந்தது,Neutral,None,Day passing
2024,வழக்கமான சிந்தனைகளே அதிகம்,Neutral,None,Ordinary thoughts
2025,பேச ஒன்றும் தோணவில்லை,Neutral,None,Low engagement
2026,சாதாரண உணர்வுடன் நாள் முடிந்தது,Neutral,None,Neutral closure
2027,இன்றைய அனுபவம் அமைதியாக இருந்தது,Neutral,None,Calm day
2028,எதிர்காலம் குறித்து உறுதியான பதில் இல்லாதது உள்ளுக்குள் அச்சத்தை வளர்த்தது,Fear,Frustration,Uncertain future pressure
2029,எதிர்பாராத மாற்றங்கள் வாழ்க்கை கட்டுப்பாட்டை இழக்கச் செய்தது,Fear,Frustration,Loss of control fear
2030,நாளை நடக்கப்போகும் விஷயங்களை நினைத்து தூக்கம் கலைந்தது,Fear,Frustration,Anticipatory anxiety
2031,சுற்றிய சூழல் பாதுகாப்பற்றதாக தோன்றியதால் பதற்றம் அதிகரித்தது,Fear,Frustration,Environmental insecurity
2032,எடுத்த முடிவு தவறாகிவிடுமோ என்ற பயம் மனதை அழுத்தியது,Fear,Frustration,Decision anxiety
2033,எதையும் திட்டமிட முடியாத நிலை உள்ளத்தை கலங்கச் செய்தது,Fear,Frustration,Planning paralysis
2034,நம்பிக்கை இருந்தாலும் முடிவின் பயம் தொடர்ந்தது,Fear,Hope,Hope with uncertainty
2035,பொறுப்புகள் அதிகரித்ததால் எதிர்காலம் பயமூட்டியது,Fear,Frustration,Responsibility pressure
2036,நிலைமை திடீரென மாறுமோ என்ற அச்சம் விடவில்லை,Fear,Frustration,Change anxiety
2037,எண்ணங்கள் ஓயாமல் ஓடியதால் மனநிலை குழம்பியது,Fear,Frustration,Overthinking spiral
2038,நாளை பற்றிய கேள்விகள் உள்ளுக்குள் கலக்கத்தை உருவாக்கின,Fear,Frustration,Unresolved anticipation
2039,எதிர்பார்ப்புகள் நிறைவேறாதோ என்ற அச்சம் மனதை பிடித்தது,Fear,Despair,Hopeless anticipation
2040,பாதுகாப்பு குறித்த கவலைகள் மனதை அமைதியிழக்கச் செய்தன,Fear,Frustration,Safety concern stress
2041,நம்பிக்கை தேடியும் பயம் மேலோங்கியது,Fear,Despair,Overpowered hope
2042,உறுதி இல்லாத சூழல் எதிர்காலத்தை மங்கலாக்கியது,Fear,Frustration,Ambiguous situation
2043,சில செய்திகளை கேட்டதும் உள்ளுக்குள் நடுக்கம் ஏற்பட்டது,Fear,Frustration,Threat perception
2044,மாற்றங்களை எதிர்கொள்ளும் திறன் குறைவதாக தோன்றியது,Fear,Despair,Low coping confidence
2045,தவறுகள் நேர்ந்துவிடுமோ என்ற எண்ணம் மனதை சுருக்கியது,Fear,Frustration,Error anxiety
2046,நிலைமை கைமீறி போகும் பயம் தொடர்ந்தது,Fear,Despair,Loss fear
2047,நாளை பற்றி யோசிக்கவே மனம் தயங்கியது,Fear,Frustration,Future avoidance
2048,நம்பிக்கையை பிடித்துக்கொண்டே பயத்தை சமாளிக்க முயன்றேன்,Fear,Hope,Resilient anticipation
2049,சொன்ன கருத்து மதிக்கப்படாதது கோபத்தை உருவாக்கியது,Anger,Frustration,Ignored voice
2050,மீண்டும் மீண்டும் அலட்சியமாக நடத்தப்படுவது எரிச்சலை கூட்டியது,Anger,Frustration,Repeated neglect
2051,நியாயமற்ற முடிவு மனதை கொதிக்க வைத்தது,Anger,Frustration,Perceived injustice
2052,பொறுப்பை பிறர் தள்ளிவிடுவது கோபத்தை தூண்டியது,Anger,Frustration,Blame shifting
2053,அமைதியாக இருந்ததை பலவீனமாக எடுத்துக்கொண்டார்கள்,Anger,Frustration,Assertiveness misread
2054,வாக்குறுதிகள் காற்றாகிப் போனது கோபம் தந்தது,Anger,Frustration,Broken promises
2055,சிலர் திட்டமிட்டு தவிர்ப்பது கடுப்பை உண்டாக்கியது,Anger,Frustration,Intentional avoidance
2056,நேரத்தை மதிக்காத நடைமுறை மனதை எரிச்சலாக்கியது,Anger,Frustration,Time disrespect
2057,சொல்லியும் புரியாத நிலை கோபத்தை அதிகரித்தது,Anger,Frustration,Communication failure
2058,முகத்தில் சிரிப்பு உள்ளுக்குள் கடும் எரிச்சல்,Anger,Sarcasm,Surface politeness
2059,நியாயம் கேட்பதே தவறாக பார்க்கப்பட்டது,Anger,Frustration,Justice suppression
2060,முடிவுகள் ஒருதலைப்பட்சமாக எடுக்கப்பட்டது கோபம் தந்தது,Anger,Frustration,Power imbalance
2061,அலட்சியமான பதில்கள் மனதை சீண்டின,Anger,Frustration,Dismissive response
2062,பொறுமை எல்லை மீறியதாக உணர்ந்தேன்,Anger,Frustration,Patience overflow
2063,சில நடத்தை மரியாதையற்றதாக தோன்றியது,Anger,Frustration,Respect violation
2064,பிரச்சனையை திருப்பி என்ன்மேல் தள்ளினர்,Anger,Frustration,Unfair blame
2065,எல்லாம் நாடகம் போல தெரிந்தது,Anger,Sarcasm,Social pretence
2066,சொல்லப்படாத விதிமுறைகள் கோபத்தை தூண்டின,Anger,Frustration,Hidden expectations
2067,மீண்டும் காத்திருக்க வைத்தது எரிச்சலாக இருந்தது,Anger,Frustration,Delay irritation
2068,நம்பிக்கை குலைந்ததால் கோபம் அதிகரித்தது,Anger,Despair,Trust breakdown
2069,அமைதி காத்தும் சோதனை தொடர்ந்தது,Anger,Frustration,Endurance strain
2070,நியாயம் கிடைக்காது என்ற உணர்வு கோபமாக மாறியது,Anger,Despair,Anger from helplessness
2071,சிறிய வெற்றி கூட உள்ளத்தை உற்சாகப்படுத்தியது,Joy,Hope,Positive reinforcement
2072,எதிர்பாராத நல்ல செய்தி நாளை மாற்றியது,Joy,Hope,Unexpected positivity
2073,சுற்றியவர்களின் ஆதரவு நம்பிக்கையை வலுப்படுத்தியது,Joy,Hope,Social encouragement
2074,நீண்ட முயற்சிக்குப் பிறகு கிடைத்த பலன் மகிழ்ச்சி தந்தது,Joy,Hope,Effort rewarded
2075,சாதாரண தருணம் கூட இன்று இனிமையாக உணரப்பட்டது,Joy,Hope,Everyday appreciation
2076,நல்ல உரையாடல் மனநிலையை உயர்த்தியது,Joy,Hope,Emotional connection
2077,சிறு பாராட்டு பெரிய ஊக்கமாக மாறியது,Joy,Hope,Validation boost
2078,எதிர்காலம் குறித்து நம்பிக்கை மெதுவாக உருவானது,Joy,Hope,Gradual optimism
2079,உள்ளுக்குள் நிம்மதி பிறந்ததை உணர்ந்தேன்,Joy,Hope,Inner peace growth
2080,முயற்சி வீணாகவில்லை என்ற உணர்வு மகிழ்ச்சி,Joy,Hope,Meaningful effort
2081,எதிர்பாராத உதவி உள்ளத்தை நெகிழ வைத்தது,Joy,Hope,Supportive kindness
2082,சுயநம்பிக்கை மீண்டும் எழுந்தது,Joy,Hope,Renewed self belief
2083,சிறு மாற்றம் பெரிய நேர்மறை உணர்வை தந்தது,Joy,Hope,Positive shift
2084,நல்ல முடிவு எடுத்ததில் மனநிறைவு,Joy,Hope,Decision confidence
2085,சிரிப்பு இயல்பாக வந்தது,Joy,Hope,Spontaneous happiness
2086,சாதனை உணர்வு நாளை இனிமையாக்கியது,Joy,Hope,Achievement satisfaction
2087,உள்ளம் சுமை குறைந்து லேசானது,Joy,Hope,Relief experience
2088,நல்ல நினைவுகள் மனதை நிரப்பின,Joy,Hope,Positive recall
2089,நம்பிக்கை மட்டும் போதுமானதாக தோன்றியது,Joy,Hope,Hope sufficiency
2090,சாதாரண நாளும் சிறப்பாக உணரப்பட்டது,Joy,Hope,Heightened appreciation
2091,முன்னேற்றம் தெளிவாக தெரிந்தது,Joy,Hope,Visible progress
2092,எதிர்காலத்தை சற்று நம்பிக்கையுடன் பார்த்தேன்,Joy,Hope,Forward looking optimism
2093,உழைப்புக்கு மரியாதை கிடைத்ததில் மகிழ்ச்சி,Joy,Hope,Recognition joy
2094,உள்ளுக்குள் உற்சாகம் தொடர்ந்து இருந்தது,Joy,Hope,Sustained motivation
2095,எதிர்காலம் மங்கலாக தெரிந்ததால் பயம் அதிகரித்தது,Fear,Despair,Blurred future fear
2096,நிலைமை மாறாது என்ற எண்ணம் மனதை உடைத்தது,Fear,Despair,Stagnation fear
2097,எடுத்த முடிவுகள் தவறாகிவிட்டதோ என்ற அச்சம்,Fear,Despair,Regret anxiety
2098,நம்பிக்கை இருந்தாலும் முடிவு நம்பிக்கையளிக்கவில்லை,Fear,Despair,Hope conflict
2099,பாதுகாப்பு இல்லாத உணர்வு நீண்ட நேரம் நீடித்தது,Fear,Despair,Chronic insecurity
2100,எதிர்காலம் கையில் இல்லாதது போல தோன்றியது,Fear,Despair,Powerlessness fear
2101,மாற்றங்களை எதிர்கொள்ள முடியுமா என்ற சந்தேகம்,Fear,Despair,Self doubt fear
2102,எண்ணங்கள் இருண்ட பாதைக்கு சென்றன,Fear,Despair,Catastrophic thinking
2103,நிலைமை கட்டுப்பாட்டை மீறியதாக உணர்ந்தேன்,Fear,Despair,Overwhelmed fear
2104,முயற்சிகள் போதாதோ என்ற பயம்,Fear,Despair,Inadequacy fear
2105,நம்பிக்கை மெதுவாக கரைந்தது,Fear,Despair,Hope erosion
2106,எதிர்காலம் குறித்து பதில் இல்லாத கேள்விகள்,Fear,Despair,Unanswered worries
2107,சூழ்நிலை மேம்படாது என்ற பயம்,Fear,Despair,Pessimistic outlook
2108,சொல்லப்பட்ட வார்த்தைகள் ஆழமான கோபத்தை ஏற்படுத்தின,Anger,Despair,Deep hurt anger
2109,நியாயம் கிடைக்காது என்ற உணர்வு கடும் கோபம்,Anger,Despair,Helpless anger
2110,முயற்சிகள் வீணானதாக தோன்றியது கோபத்தை கூட்டியது,Anger,Despair,Anger from futility
2111,அமைதி கூட அவமதிப்பாக உணரப்பட்டது,Anger,Despair,Humiliation anger
2112,நம்பிக்கை முறிந்ததும் கோபம் வெடித்தது,Anger,Despair,Trust collapse anger
2113,சில உண்மைகள் ஏற்க முடியாத அளவுக்கு வலித்தது,Anger,Despair,Pain induced anger
2114,மாற்றம் நடக்காது என்ற உணர்வு கோபமாக மாறியது,Anger,Despair,Anger from stagnation
2115,நியாயமற்ற நிலை மனதை எரித்தது,Anger,Despair,Burning injustice
2116,மீண்டும் தோல்வி என்ற எண்ணம் கோபம்,Anger,Despair,Failure anger
2117,பொறுமை முழுமையாக முடிந்தது,Anger,Despair,Exhausted tolerance
2118,நல்ல முடிவு வரலாம் என்ற நம்பிக்கை மகிழ்ச்சி தந்தது,Joy,Hope,Optimistic expectation
2119,முயற்சி தொடர வேண்டும் என்ற உற்சாகம்,Joy,Hope,Perseverance motivation
2120,சிரிப்புக்குப் பின்னால் நம்பிக்கை இருந்தது,Joy,Hope,Resilient joy
2121,சாதாரண உதவியும் பெரிய நம்பிக்கை அளித்தது,Joy,Hope,Small support impact
2122,எதிர்காலம் மாறக்கூடும் என்ற எண்ணம் மகிழ்ச்சி,Joy,Hope,Change optimism
2123,சுயநம்பிக்கை மெதுவாக வலுப்பெற்றது,Joy,Hope,Confidence rebuilding
2124,முயற்சிக்கு வழி இருக்கிறது என்ற உணர்வு,Joy,Hope,Possibility awareness
2125,இன்னும் முயன்றால் வெற்றி கிடைக்கும் நம்பிக்கை,Joy,Hope,Determined optimism
2126,நல்ல பாதை தென்பட தொடங்கியது,Joy,Hope,Emerging direction
2127,உள்ளம் இன்னும் நம்பிக்கையை விடாமல் பிடித்தது,Joy,Hope,Hope persistence
2128,எதிர்கால முடிவுகள் தெளிவில்லாமல் இருப்பது உள்ளுக்குள் நீண்ட பதற்றத்தை உருவாக்கியது,Fear,Frustration,Uncertain future stress
2129,நாளை என்ன நடக்கும் என்ற எண்ணம் மனதை முழுவதும் ஆட்கொண்டது,Fear,Frustration,Anticipatory anxiety
2130,பாதுகாப்பு குறித்த உறுதி இல்லாதது உள்ளத்தை நடுக்கம் அடையச் செய்தது,Fear,Frustration,Security uncertainty
2131,திடீர் மாற்றங்கள் ஏற்படுமோ என்ற அச்சம் அமைதியை கலைத்தது,Fear,Frustration,Change related fear
2132,எடுத்த முடிவு தவறாகிவிடுமோ என்ற பயம் தொடர்ந்து இருந்தது,Fear,Frustration,Decision anxiety
2133,எண்ணங்கள் கட்டுப்பாட்டை இழந்து மோசமான முடிவுகளை கற்பனை செய்தன,Fear,Frustration,Catastrophic thinking
2134,நிலைமை கைமீறி போகுமோ என்ற அச்சம் மனதை இறுக்க வைத்தது,Fear,Despair,Loss of control fear
2135,எதிர்காலம் கண்ணுக்கு தெரியாத இருளாக தோன்றியது,Fear,Despair,Unclear future dread
2136,பொறுப்புகள் அதிகரிப்பதால் பயம் மேலும் வலுப்பெற்றது,Fear,Frustration,Responsibility pressure
2137,நம்பிக்கை இருந்தும் மனம் தயங்கிய நிலை தொடர்ந்தது,Fear,Hope,Conflicted courage
2138,சில செய்திகளை கேட்டதும் உடலில் நடுக்கம் தோன்றியது,Fear,Frustration,Threat perception
2139,எதையும் திட்டமிட முடியாத நிலை பயத்தை ஊட்டியது,Fear,Frustration,Planning paralysis
2140,முயற்சி போதாதோ என்ற எண்ணம் மனதை சுருக்கியது,Fear,Despair,Inadequacy fear
2141,நிலைமை மேம்படாது என்ற அச்சம் உள்ளத்தை உடைத்தது,Fear,Despair,Hopeless outlook
2142,எதிர்பாராத சூழ்நிலைகள் மீண்டும் வருமோ என்ற பயம்,Fear,Frustration,Recurring threat anxiety
2143,நாளை எதிர்கொள்ளும் சக்தி குறைந்ததாக தோன்றியது,Fear,Despair,Low coping confidence
2144,மாற்றங்களை ஏற்க முடியுமா என்ற சந்தேகம் தொடர்ந்தது,Fear,Frustration,Adaptation anxiety
2145,உள்ளுக்குள் அச்சம் அடங்காமல் நீடித்தது,Fear,Frustration,Persistent anxiety
2146,நம்பிக்கை இருந்தாலும் பயம் மேலோங்கியது,Fear,Despair,Overpowered hope
2147,எதிர்காலத்தை நினைத்தாலே மனம் சோர்ந்தது,Fear,Despair,Future dread
2148,சொன்ன கருத்து தொடர்ந்து புறக்கணிக்கப்பட்டது கோபத்தை உருவாக்கியது,Anger,Frustration,Ignored voice
2149,மரியாதையற்ற அணுகுமுறை மனதை கடுமையாக சீண்டியது,Anger,Frustration,Respect violation
2150,மீண்டும் மீண்டும் குற்றம் சுமத்தப்பட்ட நிலை எரிச்சல் தந்தது,Anger,Frustration,Unfair blame
2151,நியாயமற்ற முடிவுகள் மனதை கொதிக்க வைத்தன,Anger,Frustration,Perceived injustice
2152,அமைதியாக இருந்ததை பலவீனமாக எடுத்துக்கொண்டார்கள்,Anger,Frustration,Assertiveness misread
2153,வாக்குறுதிகள் நிறைவேறாதது கோபத்தை தீவிரப்படுத்தியது,Anger,Frustration,Broken trust
2154,சிலர் பொறுப்பைத் தவிர்ப்பது கடுப்பை அதிகரித்தது,Anger,Frustration,Avoidance irritation
2155,நேரத்தை மதிக்காத செயல்கள் எரிச்சலை உருவாக்கின,Anger,Frustration,Time disrespect
2156,சொல்லியும் புரியாத நிலை கோபத்தை சேர்த்தது,Anger,Frustration,Communication failure
2157,முகத்தில் சிரிப்பு உள்ளுக்குள் கடும் எரிச்சல் மறைந்தது,Anger,Sarcasm,Masked irritation
2158,நியாயம் கேட்பதே தவறாக பார்க்கப்பட்ட அனுபவம்,Anger,Frustration,Justice suppression
2159,முடிவுகள் ஒருதலைப்பட்சமாக எடுக்கப்பட்டன என்ற உணர்வு,Anger,Frustration,Power imbalance
2160,அலட்சியமான பதில்கள் மனதை சீண்டின,Anger,Frustration,Dismissive response
2161,பொறுமை எல்லை கடந்துவிட்டதாக உணர்ந்தேன்,Anger,Frustration,Patience overflow
2162,மரியாதை இல்லாத வார்த்தைகள் கோபத்தை தூண்டின,Anger,Frustration,Verbal disrespect
2163,பிரச்சனைகள் என்ன்மேல் தள்ளப்பட்டதால் கோபம் அதிகரித்தது,Anger,Frustration,Unfair burden
2164,எல்லாம் நாடகம் போல தெரிந்த தருணம்,Anger,Sarcasm,Social pretence
2165,சொல்லப்படாத விதிமுறைகள் எரிச்சலை ஏற்படுத்தின,Anger,Frustration,Hidden expectations
2166,மீண்டும் காத்திருக்க வைத்தது கடுப்பை உண்டாக்கியது,Anger,Frustration,Delay irritation
2167,நம்பிக்கை முறிந்ததால் கோபம் ஆழமானது,Anger,Despair,Trust collapse anger
2168,அமைதி காத்தும் சோதனை தொடர்ந்தது,Anger,Frustration,Endurance strain
2169,நியாயம் கிடைக்காது என்ற உணர்வு கோபமாக மாறியது,Anger,Despair,Helpless anger
2170,சிறிய முன்னேற்றம் கூட உள்ளத்தில் பெரிய உற்சாகத்தை உருவாக்கியது,Joy,Hope,Positive reinforcement
2171,எதிர்பாராத நல்ல செய்தி நாளை முழுவதும் இனிமையாக்கியது,Joy,Hope,Unexpected positivity
2172,சுற்றியவர்களின் ஆதரவு நம்பிக்கையை வலுப்படுத்தியது,Joy,Hope,Social encouragement
2173,நீண்ட முயற்சிக்குப் பிறகு கிடைத்த பலன் மனதை மகிழ்வித்தது,Joy,Hope,Effort rewarded
2174,சாதாரண தருணம் கூட இன்று அர்த்தமுள்ளதாக உணரப்பட்டது,Joy,Hope,Meaningful moment
2175,நல்ல உரையாடல் உள்ளத்தை மென்மையாக்கி நிம்மதி தந்தது,Joy,Hope,Emotional connection
2176,சிறு பாராட்டு கூட பெரிய ஊக்கமாக மாறியது,Joy,Hope,Validation boost
2177,எதிர்காலம் குறித்து மெதுவாக நம்பிக்கை உருவானது,Joy,Hope,Gradual optimism
2178,உள்ளுக்குள் நிம்மதி பிறந்ததை தெளிவாக உணர்ந்தேன்,Joy,Hope,Inner peace
2179,முயற்சி வீணாகவில்லை என்ற எண்ணம் மகிழ்ச்சி தந்தது,Joy,Hope,Meaningful effort
2180,எதிர்பாராத உதவி உள்ளத்தை நெகிழ வைத்தது,Joy,Hope,Supportive kindness
2181,சுயநம்பிக்கை மீண்டும் வலுப்பெற்றதை உணர்ந்தேன்,Joy,Hope,Renewed confidence
2182,சிறு மாற்றம் பெரிய நேர்மறை உணர்வை ஏற்படுத்தியது,Joy,Hope,Positive shift
2183,நல்ல முடிவு எடுத்ததில் மனநிறைவு ஏற்பட்டது,Joy,Hope,Decision confidence
2184,சிரிப்பு இயல்பாக வந்த தருணம் மனதை இலகுவாக்கியது,Joy,Hope,Spontaneous happiness
2185,சாதனை உணர்வு நாளை மேலும் இனிமையாக்கியது,Joy,Hope,Achievement satisfaction
2186,உள்ளம் சுமை குறைந்து லேசான நிலை அடைந்தது,Joy,Hope,Relief experience
2187,நல்ல நினைவுகள் மனதை முழுவதும் நிரப்பின,Joy,Hope,Positive recall
2188,நம்பிக்கை மட்டும் போதுமானதாக தோன்றிய தருணம்,Joy,Hope,Hope sufficiency
2189,சாதாரண நாளும் சிறப்பாக உணரப்பட்ட அனுபவம்,Joy,Hope,Heightened appreciation
2190,உள்ளம் தொடர்ந்து சோர்வை அனுபவித்ததால் மனநிலை கனமானது,Sadness,Frustration,Emotional heaviness
2191,நம்பிக்கை மெதுவாக குறைந்ததை உணர்ந்து வேதனை ஏற்பட்டது,Sadness,Despair,Hope erosion
2192,எண்ணங்கள் ஒரே இடத்தில் சிக்கி சோர்வை கூட்டின,Sadness,Frustration,Mental stagnation
2193,சில வார்த்தைகள் இதயத்தில் ஆழமான காயத்தை ஏற்படுத்தின,Sadness,Despair,Emotional wound
2194,நாட்கள் அர்த்தமில்லாமல் நகர்வது போல உணர்வு,Sadness,Despair,Meaning loss
2195,உள்ளுக்குள் வெறுமை பெருகி அமைதி தொலைந்தது,Sadness,Despair,Inner emptiness
2196,பகிர முடியாத உணர்வுகள் சுமையாக மாறின,Sadness,Frustration,Unexpressed burden
2197,எதிர்பாராத மௌனம் வேதனையை அதிகரித்தது,Sadness,Despair,Silent pain
2198,நினைவுகள் மீண்டும் மீண்டும் மனதை தளரச் செய்தன,Sadness,Frustration,Memory intrusion
2199,இதயம் தேடும் ஓய்வு கிடைக்காத நிலை,Sadness,Despair,Rest deprivation
2200,சுற்றியவர்கள் இருந்தும் தனிமை குறையவில்லை,Sadness,Despair,Emotional isolation
2201,நம்பிய இடத்தில் ஏமாற்றம் ஏற்பட்டது,Sadness,Despair,Broken trust
2202,உள்ளம் சோர்ந்து சக்தி குறைந்தது,Sadness,Frustration,Energy depletion
2203,நாளின் முடிவில் வெறுமை அதிகமாக இருந்தது,Sadness,Despair,Empty closure
2204,வார்த்தைகள் உள்ளத்தில் அடைப்பை ஏற்படுத்தின,Sadness,Frustration,Emotional blockage
2205,எண்ணங்கள் இருண்ட பாதையில் சென்றன,Sadness,Despair,Dark rumination
2206,சிரிப்பு தொலைந்ததை தெளிவாக உணர்ந்தேன்,Sadness,Despair,Loss of joy
2207,நம்பிக்கை தேடும் பயணம் சோர்வை கூட்டியது,Sadness,Frustration,Exhausted search
2208,உள்ளுக்குள் கண்ணீர் அடங்காமல் இருந்தது,Sadness,Despair,Suppressed grief
2209,மனநிலை தொடர்ந்து சோர்வாகவே இருந்தது,Sadness,Despair,Chronic sadness
2210,இன்று நடந்தவை சாதாரண நாளின் ஓட்டத்திலேயே இருந்தது,Neutral,Frustration,Monotonous routine
2211,வேலைகள் திட்டமிட்டபடி நடந்தாலும் சுவாரசியம் இல்லை,Neutral,Frustration,Mechanical routine
2212,நேரம் மெதுவாக சென்றதால் சலிப்பு ஏற்பட்டது,Neutral,Frustration,Time drag
2213,எதுவும் விசேஷமில்லை என்ற உணர்வு தொடர்ந்தது,Neutral,Frustration,Eventless day
2214,சாதாரண சிந்தனைகள் நாளை முழுவதும் ஆக்கிரமித்தன,Neutral,Frustration,Mental monotony
2215,பேச்சு குறைவாக இருந்ததால் சலிப்பு அதிகரித்தது,Neutral,Frustration,Low stimulation
2216,வழக்கமான செயல்கள் சுமையாக தோன்றின,Neutral,Frustration,Routine fatigue
2217,நாளை பற்றிய திட்டமின்மை மனதை எரிச்சலாக்கியது,Neutral,Frustration,Unplanned day
2218,சூழல் மாற்றமின்றி இருந்தது சலிப்பை உண்டாக்கியது,Neutral,Frustration,Stagnant context
2219,சாதாரண வேலையும் சோர்வாக உணரப்பட்டது,Neutral,Frustration,Low engagement
2220,எதிர்காலம் பற்றிய அச்சம் மனதை அடிக்கடி கலக்கியது,Fear,Frustration,Recurring anxiety
2221,முடிவுகள் தெளிவில்லாமல் இருப்பது பயத்தை தூண்டியது,Fear,Frustration,Decision uncertainty
2222,பாதுகாப்பு குறித்த சந்தேகங்கள் மனதை அமைதியிழக்க செய்தன,Fear,Frustration,Safety anxiety
2223,எதிர்பாராத நிகழ்வுகள் மீண்டும் வருமோ என்ற பயம்,Fear,Frustration,Threat anticipation
2224,நாளை எதிர்கொள்ளும் துணிச்சல் குறைந்ததாக தோன்றியது,Fear,Despair,Low confidence fear
2225,மாற்றங்களை சமாளிக்க முடியுமா என்ற அச்சம்,Fear,Despair,Adaptation doubt
2226,எண்ணங்கள் மோசமான முடிவுகளை மட்டும் காட்டின,Fear,Despair,Negative forecasting
2227,நிலைமை மேம்படாது என்ற எண்ணம் பயத்தை அதிகரித்தது,Fear,Despair,Hopeless fear
2228,முயற்சிகள் போதாது என்ற அச்சம்,Fear,Despair,Inadequacy anxiety
2229,நம்பிக்கை இருந்தாலும் பயம் மனதை ஆட்கொண்டது,Fear,Despair,Overwhelming fear
2230,சொன்ன வார்த்தைகள் மீண்டும் அவமதிப்பாக உணரப்பட்டது,Anger,Frustration,Repeated disrespect
2231,நியாயமற்ற பழி சுமத்தல் கோபத்தை தூண்டியது,Anger,Frustration,Unfair accusation
2232,பொறுப்புகளைத் தவிர்க்கும் நடைமுறை எரிச்சலாக இருந்தது,Anger,Frustration,Avoidance anger
2233,அலட்சியமான அணுகுமுறை மனதை சீண்டியது,Anger,Frustration,Dismissive behavior
2234,அமைதி காத்ததும் மதிக்கப்படவில்லை,Anger,Frustration,Ignored restraint
2235,வாக்குறுதி முறிந்ததால் கோபம் தீவிரமானது,Anger,Despair,Trust anger
2236,சில செயல்கள் வேண்டுமென்றே செய்யப்பட்டதாக தோன்றியது,Anger,Frustration,Perceived intent
2237,நேரத்தை வீணாக்கிய அனுபவம் எரிச்சலை ஏற்படுத்தியது,Anger,Frustration,Time wastage
2238,சொல்லாத விதிமுறைகள் கோபத்தை கூட்டின,Anger,Frustration,Hidden rules
2239,நியாயம் கிடைக்காது என்ற எண்ணம் கோபமாக மாறியது,Anger,Despair,Helpless anger
2240,சிறு வெற்றி கூட நாளை நம்பிக்கையுடன் பார்க்க வைத்தது,Joy,Hope,Positive outlook
2241,எதிர்பாராத பாராட்டு உள்ளத்தை உற்சாகப்படுத்தியது,Joy,Hope,Recognition joy
2242,சுற்றியவர்களின் ஆதரவு மனதை வலுப்படுத்தியது,Joy,Hope,Social strength
2243,நீண்ட முயற்சிக்குப் பிறகு கிடைத்த அமைதி மகிழ்ச்சி,Joy,Hope,Earned calm
2244,சாதாரண நாளில் கூட அர்த்தம் கண்டேன்,Joy,Hope,Meaning discovery
2245,நல்ல உரையாடல் நாளை இனிமையாக்கியது,Joy,Hope,Positive interaction
2246,சுயநம்பிக்கை மெதுவாக வளர்ந்தது,Joy,Hope,Confidence growth
2247,எதிர்காலம் மாறக்கூடும் என்ற எண்ணம் மகிழ்ச்சி,Joy,Hope,Change optimism
2248,உள்ளுக்குள் நம்பிக்கை வலுப்பெற்றது,Joy,Hope,Strengthened hope
2249,முயற்சி தொடர வேண்டும் என்ற உற்சாகம் அதிகரித்தது,Joy,Hope,Perseverance motivation
2250,எதிர்காலம் பற்றிய தெளிவில்லாத நிலை உள்ளுக்குள் நீண்ட நேரம் பதற்றத்தை உருவாக்கியது,Fear,Frustration,Uncertain future pressure
2251,நாளை எதிர்கொள்ள வேண்டிய சூழ்நிலைகள் மனதை அமைதியிழக்கச் செய்தது,Fear,Frustration,Anticipatory anxiety
2252,பாதுகாப்பு குறித்த உறுதி இல்லாத எண்ணங்கள் இதயத்தை நடுக்கமடைய செய்தன,Fear,Frustration,Security uncertainty
2253,எடுத்த முடிவு தவறாகிவிடுமோ என்ற பயம் தொடர்ந்து மனதில் ஓடிக்கொண்டிருந்தது,Fear,Frustration,Decision anxiety
2254,எண்ணங்கள் மோசமான முடிவுகளை மட்டுமே கற்பனை செய்து பயத்தை வளர்த்தன,Fear,Frustration,Catastrophic thinking
2255,நிலைமை கைமீறி போகும் போல தோன்றியதால் உள்ளம் கலங்கியது,Fear,Despair,Loss of control fear
2256,எதிர்பாராத மாற்றங்கள் மீண்டும் நிகழுமோ என்ற அச்சம் விடவில்லை,Fear,Frustration,Change related fear
2257,மாற்றங்களை சமாளிக்க முடியுமா என்ற சந்தேகம் பயத்தை தூண்டியது,Fear,Frustration,Adaptation anxiety
